state,year,pop,packpc,income,avgprs,taxs
AL,1985,3973000,116.4862823,46014968,102.1816711,33.34833527
AR,1985,2327000,128.5345917,26210736,101.4749985,37
AZ,1985,3184000,104.5226135,43956936,108.5787506,36.17041779
CA,1985,26444000,100.3630371,447102816,107.8373413,32.10400009
CO,1985,3209000,112.9635391,49466672,94.2666626,31
CT,1985,3201000,109.2783508,60063368,128.0249939,51.48333359
DE,1985,618000,143.8511353,9927301,102.4916611,30
FL,1985,11352000,122.1811218,166919248,115.2900009,42.49000168
GA,1985,5963000,127.2346191,78364336,97.02516937,28.84183311
IA,1985,2830000,113.7455826,37902896,101.8420029,37.91699982
ID,1985,994000,103.0181122,11577261,102.8993301,29.05766678
IL,1985,11401000,123.2084808,176786352,104.4402542,28.9152565
IN,1985,5460000,137.6373749,71751616,96.18000031,31.07999992
KS,1985,2428000,116.680397,34784360,98.9229126,34.88124847
KY,1985,3695000,186.0351868,42703144,87.00125122,23.14291763
LA,1985,4409000,127.5572662,53431900,108.3939972,36.16899872
MA,1985,5881000,115.677597,98328688,112.2083359,42
MD,1985,4414000,120.9787064,74851664,91.96666718,29
ME,1985,1163000,128.1169434,14575292,107.0475006,41.09749985
MI,1985,9077000,128.0048523,133728040,104.9141693,37.83083344
MN,1985,4185000,112.9032288,63152360,113.6496658,40.43299866
MO,1985,5001000,130.3739319,69341920,99.33816528,29.85483742
MS,1985,2588000,117.040184,25678534,105.293335,33.54333115
MT,1985,822000,104.2579041,9785230,99.29166412,32
NC,1985,6255000,155.2837677,79104656,84.96799469,21.26799965
ND,1985,677000,105.4652863,8672948,106.8079987,38.10800171
NE,1985,1585000,107.3817062,21778072,104.6066666,38.0233345
NH,1985,997000,197.993988,15767469,95.5,33
NJ,1985,7566000,116.5212784,133549208,110.4166641,41
NM,1985,1439000,88.74217987,17258916,102.7779999,31.95299911
NV,1985,951000,141.9558411,14581495,114.1884995,37.46350098
NY,1985,17794000,116.6629181,297728512,109.9978256,37.88117218
OH,1985,10736000,127.5987396,153455776,100.4237442,34.7820816
OK,1985,3272000,127.1393661,43395580,101.4680786,34.82641602
OR,1985,2673000,119.4537964,36205164,97.03333282,35
PA,1985,11772000,117.7030258,170033840,109.0740051,40.17399979
RI,1985,967000,132.7817841,14229156,100.9416656,39
SC,1985,3304000,127.2094421,38536176,90.64125061,27.31624985
SD,1985,698000,106.5902557,8340000,97.08333588,31
TN,1985,4716000,129.8345947,57749668,101.9455032,34.77050018
TX,1985,16275000,115.1029282,231003152,107.3799973,39.38000107
UT,1985,1643000,68.04625702,19462380,110.1958389,34.23749924
VA,1985,5716000,134.0097961,87361632,91.61533356,22.02366829
VT,1985,530000,145.28302,6887097,100.9833374,33
WA,1985,4401000,96.22812653,64846548,129.4610901,47.46941757
WI,1985,4748000,107.8769989,65732720,114.590004,46.45666504
WV,1985,1907000,112.8474045,20852964,108.9112473,38.18624878
WY,1985,500000,129.3999939,7116756,93.46666718,24
AL,1995,4262731,101.085434,83903280,158.3713379,41.90467072
AR,1995,2480121,111.0429688,45995496,175.542511,63.85916901
AZ,1995,4306908,71.95417023,88870496,198.6074982,74.79082489
CA,1995,31493524,56.85930634,771470144,210.5046692,74.77133179
CO,1995,3738061,82.58292389,92946544,167.3500061,44
CT,1995,3265293,79.47219086,104315120,218.2805023,86.35549927
DE,1995,718265,124.4665985,18237436,165.6000061,48
FL,1995,14185403,93.07455444,333525344,187.7171783,68.52550507
GA,1995,7188538,97.47462463,159800448,156.5730743,37.43141556
IA,1995,2840860,92.40159607,60170928,190.8899994,69.08999634
ID,1995,1165000,74.84978485,22868920,179.6375122,60.5541687
IL,1995,11884935,83.26507568,304767456,198.4761658,79.2345047
IN,1995,5791819,134.2583466,126525008,154.5337524,46.85874939
KS,1995,2586942,88.75344086,56626672,175.2100067,56.3433342
KY,1995,3855248,172.6477814,74079712,145.9796753,35.26300049
LA,1995,4327978,105.1761322,84572688,167.7953491,50.45366669
MA,1995,6062335,76.62064362,170051568,217.105011,85.33833313
MD,1995,5023650,77.47354889,135115456,186.0337524,68.85874939
ME,1995,1237438,102.46978,25045934,197.2306519,72.16400146
MI,1995,9659871,81.38825226,231594240,240.8496704,112.6330032
MN,1995,4605445,82.94529724,113216856,220.3486633,86.41533661
MO,1995,5324610,122.4502792,117639672,157.2300873,42.3884201
MS,1995,2690788,105.5824509,46241956,169.2294006,53.07108307
MT,1995,868522,87.15956879,16296835,156.2166748,42
NC,1995,7185403,121.538063,157633568,149.9940033,34.76900101
ND,1995,641548,79.80696869,12243384,192.2486725,78.88200378
NE,1995,1635142,87.27070618,36293064,182.1750031,66.67500305
NH,1995,1145604,156.3367462,28649564,166.6416626,49
NJ,1995,7965523,80.37136841,233208576,203.0871735,75.49549866
NM,1995,1682417,64.66886902,31716160,176.1462402,53.38791656
NV,1995,1525777,93.52611542,39377292,206.5991669,72.51583099
NY,1995,18150928,70.81732178,503163328,221.8580017,88.53299713
OH,1995,11155493,111.3801041,255312928,165.8912506,55.89958191
OK,1995,3265547,108.6801071,63333300,170.1349945,55.1016655
OR,1995,3141421,92.15574646,71209312,190.3000031,62
PA,1995,12044780,95.64308929,285923232,176.1631622,64.97149658
RI,1995,989203,92.59980011,23786644,224.4592438,94.68424988
SC,1995,3699943,108.0827484,72050072,152.8187408,38.27708435
SD,1995,728251,97.21923065,14454129,168.0379944,53.46300125
TN,1995,5241168,122.3200531,114259984,167.0670013,49.37533188
TX,1995,18679706,73.07930756,402096768,198.2023315,76.21900177
UT,1995,1976774,49.27219772,37278220,180.9762573,59.11791611
VA,1995,6601392,105.3868713,161441792,166.6612549,34.43625641
VT,1995,582827,122.3347549,12448607,175.6387482,52.36375046
WA,1995,5431024,65.53092194,129680832,239.1093445,96.14266968
WI,1995,5137004,92.46634674,115959680,201.3812561,71.58958435
WV,1995,1820560,115.5688324,32611268,166.5171814,50.42549896
WY,1995,478447,112.2381363,10293195,158.5416565,36
