age,sex,wage,ed
30,1,12.01923084,13
30,1,9.857142448,12
30,1,8.241758347,12
29,2,10.09615421,12
30,1,24.03846169,14
30,1,23.66863823,16
30,1,28.84615326,12
29,2,13.73626328,14
29,1,12.01923084,16
29,1,15.38461494,13
29,1,8.461538315,12
29,1,13.46153831,13
30,2,15.625,12
29,2,12.98076916,12
29,1,13.46153831,14
29,1,20.67307663,13
29,1,28.84615326,16
29,1,28.50961494,18
30,2,38.46154022,18
29,1,11.53846169,9
29,1,24.03846169,13
30,1,7.692307472,12
30,2,17.30769157,12
29,2,27.88461494,16
29,1,3.076923132,13
30,2,26.44230843,16
29,2,9.134614944,13
30,1,12.01923084,10
29,1,4.807692528,16
29,2,15.86538506,12
30,2,17.78846169,16
29,1,38.46154022,18
29,1,10.74113846,16
30,2,13.46153831,12
30,1,15.74951935,13
29,2,12.5,13
30,1,28.84615326,12
30,1,11,12
29,2,11.21794891,13
30,1,26.62721825,16
30,2,20.67307663,18
29,2,4.807692528,12
30,2,16.82692337,13
29,1,14.42307663,18
30,1,24.03846169,16
29,1,30.28846169,16
30,1,26.44230843,16
29,1,14.42307663,14
30,2,32.05128098,16
30,1,15.76576614,13
29,1,21.2550602,16
30,1,4.807692528,16
30,1,22.22222137,16
30,2,13,14
30,2,8.012820244,12
29,2,12.01923084,12
30,1,21.63461494,12
30,1,9.615385056,16
30,1,22.59615326,18
29,1,15.38461494,12
29,1,28.84615326,18
29,1,14.42307663,12
30,1,8.653845787,18
30,2,7.211538315,16
29,1,30.76922989,12
30,2,13.73626328,16
30,1,31.73077011,14
30,1,9.615385056,12
30,2,31.25,16
30,1,20.67307663,16
29,2,15.86538506,14
29,1,9.25,13
30,1,14.9572649,12
30,2,19.71153831,18
29,1,4.807692528,16
29,1,26.22377586,12
29,2,11.05769253,13
30,2,15.86538506,16
30,2,17.48251724,18
29,2,17.58241844,14
30,1,16.15384674,14
29,2,21.63461494,12
30,1,41.34615326,13
30,2,13.22115421,12
30,2,14.55301476,12
29,2,19.23077011,16
29,2,19.23077011,13
30,2,10.43956089,12
30,2,9.134614944,10
29,2,12.01923084,13
29,1,15.73426533,12
29,2,4.326922894,12
30,2,5.769230843,12
30,2,13,13
29,2,38.90876389,16
29,2,17.09401703,16
29,2,21.63461494,18
29,2,12.01923084,16
30,2,14.9572649,12
30,1,12.69230747,13
29,1,7.211538315,14
30,2,8.17307663,12
30,2,6.875,10
29,2,12.01923084,13
29,2,19.23077011,12
30,2,15.38461494,12
30,2,20.38461494,16
30,1,11.53846169,14
29,1,13,16
30,2,15.93406582,18
30,1,14.61538506,18
30,1,15.38461494,13
29,1,12.01923084,12
30,2,11,16
30,1,26.44230843,16
29,1,9.615385056,16
29,1,23.78542519,16
30,2,7.884615421,13
30,1,14.14027119,13
29,1,3.525640965,12
29,1,24.57202721,16
29,1,19.23077011,13
30,2,26.92307663,16
29,2,23.07692337,18
29,1,29.9145298,12
30,1,28.84615326,12
29,1,15.38461494,13
30,1,21.67832184,16
29,1,19.23077011,12
30,1,69.00989532,18
30,1,14.61538506,16
30,1,38.46154022,18
29,2,36.05769348,18
29,1,26.44230843,16
30,1,83.17308044,16
30,1,26.92307663,12
30,1,73.93162537,16
30,2,21.91413307,16
30,1,45.67307663,13
30,1,21.53846169,16
30,2,10.88888931,16
30,2,23.07692337,16
30,2,31.25,16
29,2,18.07692337,18
30,2,9.615385056,13
30,1,16.34615326,12
30,2,4.808653831,16
30,2,13.15789509,12
30,2,21.63461494,16
30,2,13.56275272,16
29,1,30.76922989,16
30,2,25,13
30,1,14.42307663,13
29,1,15.38461494,18
29,1,28.84615326,14
29,1,10.38461494,13
29,1,32.96703339,12
29,2,19.23077011,12
29,1,11.53846169,12
30,1,43.26922989,16
29,1,26.49572563,16
30,1,30.76922989,14
29,1,14.42307663,16
29,1,9.615385056,14
29,2,24.07407379,12
30,1,21.63461494,13
30,2,14.10256386,18
29,2,29.45055008,18
30,2,10.57692337,13
30,2,5.494505405,12
30,1,8.505917549,13
29,2,26.44230843,16
30,1,28.84615326,16
29,2,7.211538315,14
30,1,30.44871712,12
30,1,8.17307663,16
29,1,22.59615326,13
29,1,28.84615326,12
29,1,14.42307663,14
30,1,14.42307663,12
29,1,13.94230747,12
30,1,58,16
29,1,6.971153736,12
29,1,14.9572649,16
29,2,18.75,12
29,2,15.86538506,12
29,1,22.30769157,13
29,1,29.5,12
29,1,9.615385056,8
30,1,47.75249863,16
30,1,21.53846169,12
29,2,12.82051277,16
30,1,28.84615326,12
29,1,38.46154022,16
29,1,12.25,14
30,2,36.71328735,16
29,1,26.44230843,16
29,2,22.30769157,18
29,1,28.69822502,18
29,2,24.72527504,16
30,1,23.4265728,16
30,1,16.82692337,8
30,1,10.39500999,11
29,2,40.59828949,18
29,1,4.807692528,12
30,1,7.211538315,12
30,1,60.76922989,16
29,2,19.23077011,14
29,2,27.47252655,16
29,2,33.65384674,16
29,1,29.4871788,16
29,1,18.46153831,13
30,1,17.09401703,16
30,2,20,13
30,2,27.88461494,16
30,1,12.82051277,14
29,1,15.38461494,12
30,1,28.84615326,12
30,2,13.78205109,13
30,1,32.05128098,18
29,2,14.42307663,13
30,1,9.615385056,10
29,2,22.23557663,16
30,1,28.84615326,16
30,1,14.52991486,16
29,2,24.03846169,16
30,2,10.57692337,11
29,2,12.01923084,14
29,2,38.46154022,14
30,2,12.01923084,16
29,1,31.25,14
29,1,19.23077011,13
29,1,14.42307663,13
29,1,9.615385056,18
30,1,6.25,13
29,2,34.45055008,18
29,2,9.615385056,13
29,1,18.37606812,14
29,2,24.5,13
29,1,27.2435894,18
29,2,9.616346359,13
29,2,19.71153831,12
29,1,16.34615326,12
29,1,20.03205109,13
30,2,8.791209221,13
29,1,47.41674423,16
29,2,19.23077011,16
30,1,21.36752129,13
30,1,38.03418732,16
30,1,45.67307663,12
30,1,19.23077011,14
30,1,11.92307663,12
29,2,24.03846169,14
29,2,15.18218613,12
29,2,15.54828167,12
29,2,20,12
30,1,31.46853065,16
30,2,19.23077011,12
29,1,21.63461494,12
29,2,14.42307663,12
30,2,15.38461494,14
30,2,21.2550602,14
30,1,19.23173141,13
29,1,29.44711494,16
30,1,16.82692337,11
30,2,4.615384579,11
29,2,14.42307663,12
30,2,7.085020065,12
29,1,40.38461685,16
30,1,15.38461494,13
29,2,17.71255112,12
29,1,5.963461399,12
29,2,16.82692337,16
30,2,17.09401703,12
30,2,36.53845978,13
29,2,24.03846169,16
29,2,16.82692337,16
29,1,13.46153831,12
30,1,7.211538315,8
29,1,13.46153831,11
30,2,5.161538601,12
29,2,13.46153831,14
29,2,19.23077011,16
29,2,25,18
29,1,29.9145298,16
29,2,29.9145298,16
29,2,16.48351669,13
30,2,19.23077011,14
30,1,28.84615326,14
30,2,11.53846169,12
29,2,14.03326416,13
30,2,9.619711876,12
29,1,7.211538315,12
30,1,23.50427437,16
29,2,14.42307663,13
29,1,19.71153831,13
29,2,21.63461494,16
29,2,54.53450012,16
30,1,15,6
30,1,15.18218613,12
30,1,19.23077011,12
29,2,10.5,14
29,2,4.738562107,16
30,1,14.42307663,13
30,2,18.68241692,12
30,1,7.5,12
30,2,15.38461494,14
30,2,21.63461494,18
29,2,27.40384674,16
30,1,39.23077011,18
30,1,21.15384674,18
30,1,19.23077011,16
29,1,25.64102554,18
30,1,44.23077011,18
29,2,21.63461494,18
29,2,20.19230843,16
30,2,25.64102554,16
30,2,28.84615326,16
29,1,50,18
29,2,14.9572649,18
30,1,10.09615421,12
29,1,26.92307663,14
30,1,8.664422989,14
29,2,26.44230843,18
30,1,28.84615326,16
30,1,32.69230652,18
29,1,16.66666603,16
30,1,28.84615326,18
29,1,27.88461494,18
29,2,14.28571415,14
29,1,13.46153831,12
29,1,6.730769157,12
30,2,20.19230843,18
30,1,40.06410217,16
30,2,24.03846169,18
30,1,24.03846169,12
30,2,9.615385056,12
29,1,19.23077011,16
29,1,10.68376064,18
29,2,5.769230843,10
30,2,8.653845787,12
30,1,16.82692337,13
29,2,51.28205109,18
29,2,38.46154022,16
30,1,20.19230843,13
29,1,13.70192337,13
29,2,14.42307663,12
30,2,57.69230652,18
30,1,38.46154022,14
29,1,21.23077011,14
29,1,10.8740387,13
29,1,8.333333015,16
29,2,13.46263695,16
29,2,24.03846169,18
29,1,26.44230843,16
29,2,28.84615326,18
29,2,11.53846169,16
29,1,14.42307663,14
29,2,23.07692337,12
30,1,16.82692337,12
30,1,15.86538506,9
30,2,16.82692337,13
30,1,20.67307663,16
29,1,30.76922989,13
29,2,9.615385056,14
29,1,17.70833397,12
29,2,5.934065819,13
30,2,30,18
30,2,9.615385056,16
30,1,16.34615326,12
30,2,7.692307472,14
30,1,24.03926277,16
29,2,22.43589783,6
30,1,16.82692337,13
29,1,14.15384579,12
29,1,25.48077011,18
30,1,28.08675194,16
30,1,22.83653831,16
30,2,37.5,18
29,2,54.53450012,16
30,2,9.615385056,13
30,1,22.11538506,14
30,2,36.05769348,18
30,1,9.134614944,12
30,1,19.23077011,12
30,1,31.25,12
29,1,26.44230843,16
30,2,7.591093063,8
29,1,40.86538315,12
29,1,9.712510109,16
29,2,7.5,12
29,2,24.03846169,16
29,2,20.2429142,16
30,2,33.65384674,16
29,2,8.653845787,12
29,2,9.375,12
29,1,12.99376297,12
30,1,60.09615326,16
30,2,21.63461494,13
30,1,16.82692337,13
29,1,40.86538315,16
30,1,20.67307663,12
29,1,21.36752129,14
30,1,24.44444466,18
29,1,17.30769157,12
30,1,23.07692337,16
29,2,9.615385056,12
29,1,10.57692337,12
29,1,38.46154022,6
29,2,35.09615326,18
30,1,24.03846169,12
30,1,25.24038506,12
29,2,22.59615326,12
29,1,15.86538506,12
30,1,13.67521381,12
29,2,7.5,12
29,2,7.212339878,12
30,1,10.09615421,12
29,1,34.61538315,16
30,2,11.25,16
29,1,27.77777863,18
30,2,22.05882263,14
29,2,9.615385056,16
30,1,14.42307663,12
30,2,35.09615326,16
29,1,10.04807663,12
29,2,8.654808044,6
30,1,20.5128212,14
30,2,19.23077011,12
30,1,43.26922989,14
30,1,19.23077011,12
29,2,14.90384579,12
30,2,21.82952118,13
29,2,12.98076916,12
30,1,14.90384579,13
30,1,14.68531513,12
29,2,13.73626328,14
29,2,8.25,12
30,2,18.75,13
30,2,30.6837616,18
30,2,16.34615326,18
29,2,6.831984043,14
30,1,22.98077011,12
29,1,11.83431911,12
30,2,14.42307663,12
30,1,29.9145298,16
30,1,14.17004013,12
29,2,20.19230843,16
29,2,17.94871712,12
30,1,16.82692337,12
30,1,14.79591846,14
30,2,18.26922989,14
30,1,42.69230652,16
30,2,28.02197838,18
29,1,16.82692337,13
30,2,15.16272163,18
30,2,10.57692337,13
30,1,14.42307663,12
29,2,6.161538601,12
30,2,19.7435894,16
30,1,14.42307663,16
29,1,24.03846169,12
30,1,14.9572649,10
29,2,28.84615326,16
29,2,9.449500084,12
30,1,14.10624981,18
30,2,31.25,14
30,2,15.94129562,12
30,1,17.84615326,13
30,1,15.8740387,12
29,1,33.84615326,16
30,2,14.42307663,16
29,1,53.88028717,16
30,1,24.51922989,16
29,2,16.93121719,18
29,2,25.625,18
30,2,24.03846169,18
30,2,21.63461494,16
29,2,19.23077011,13
29,1,18.26922989,12
30,2,15.38461494,16
29,1,13,9
29,2,24.03942299,18
29,1,11.53846169,12
29,2,12.01923084,16
30,2,14.42307663,13
30,2,11.53846169,14
29,1,18.75,12
29,1,20.67307663,18
29,1,12.5,12
29,1,25,16
30,1,22.11538506,12
29,1,28.84615326,16
30,2,23.07692337,18
30,2,10.09615421,16
29,2,14.23076916,16
29,2,28.84615326,16
30,2,11.05769253,14
29,1,40.86538315,13
30,2,29.32692337,16
30,1,13.46153831,12
30,1,12.5,12
30,1,13.14423084,10
29,2,24.03846169,16
29,1,14.90336514,12
30,1,11.77884579,14
30,2,14.42307663,12
29,2,11.21794891,14
30,2,13.46153831,16
29,1,30.76922989,16
29,2,21.09182739,14
30,2,21.97802162,18
30,1,15.86538506,12
30,2,13.35470104,13
29,1,19.23077011,12
29,2,14.90384579,12
30,2,24.03846169,16
30,1,21.63461494,13
29,1,38.46154022,16
30,2,13.89423084,13
30,2,12.02019215,12
30,1,9.615385056,12
30,2,16.92708397,12
30,1,24.03846169,12
30,2,18.50961494,14
29,1,21.97802162,13
29,1,31.25,16
29,1,16.36538506,16
29,1,15.38461494,13
29,2,29.80769157,16
29,1,17.83286667,18
30,1,24.51922989,14
30,2,17.16346169,18
29,1,24.51922989,16
29,2,7.692307472,18
29,2,25.48077011,16
30,1,16.70040512,14
29,2,14.42307663,13
30,1,11.05769253,13
29,1,5.769230843,13
30,1,16.73077011,12
29,2,8.974358559,12
29,1,40.86538315,13
30,1,23.07692337,12
29,1,14.9572649,14
29,1,14.42307663,10
30,1,6.592788696,13
29,1,11.53846169,12
30,2,19.87179565,16
30,1,34.85577011,18
29,1,31.62447548,16
30,2,19.23077011,16
30,2,13.94230747,13
30,1,30.76922989,13
30,2,31.25,14
30,2,8.653845787,12
29,2,18.70748329,12
30,1,20.38461494,10
29,1,18.07692337,13
29,2,29.38034248,14
30,1,10.22222233,13
30,1,14.70588207,12
29,1,7.5,16
30,1,22.1149044,16
30,1,16.34615326,13
30,2,18.75,13
29,2,16.82692337,16
30,1,32.69230652,14
30,2,20.79001999,12
30,1,49.49327087,18
30,1,11.05769253,13
30,2,15.30612278,14
29,1,17.30769157,12
29,2,8.547008514,14
29,1,20.16129112,18
30,1,14.90384579,12
29,1,14.68531513,12
29,1,16.82692337,13
29,1,14.42307663,13
30,2,8.413461685,18
29,2,8.653845787,12
29,2,21.36752129,12
29,1,23.95833397,13
30,2,9.615385056,12
30,1,20.19230843,16
30,1,16.02564049,12
29,1,5,12
30,2,12.01923084,13
30,1,17.09401703,12
30,2,14.17004013,16
29,2,18.7509613,18
30,1,31.25,16
30,1,15.76923084,12
29,2,7.142857075,12
29,1,21.63461494,12
30,2,13.46153831,13
30,2,25.21367455,14
29,1,11.46153831,14
30,2,12.01923084,8
29,2,13,13
30,2,14.9572649,14
30,1,24.03846169,13
29,2,32.47863388,14
30,2,13.22115421,13
30,2,8.791209221,13
29,2,11.77884579,13
29,1,41.3943367,13
29,2,6.730769157,12
30,1,18.40659332,13
29,2,8.603239059,13
29,1,12.98076916,13
29,2,4.945055008,16
30,1,6.25,11
29,1,25,13
30,2,7.692307472,13
30,1,10.44978619,13
30,2,13.46153831,16
30,1,33.17307663,13
29,1,10.41666698,18
30,2,11.29807663,12
29,2,12.5,16
29,1,4.166666508,18
29,1,6.677350521,14
29,2,9.615385056,12
30,2,33.21678162,16
29,1,9.15750885,12
30,1,17.78846169,10
29,1,18.26922989,16
29,1,15.38461494,14
29,1,34.61538315,12
29,2,12.98076916,13
29,2,16.69281387,13
29,2,26.44230843,16
29,1,12.01923084,12
30,2,34.61538315,16
30,1,4.615384579,9
30,2,8.653845787,12
29,2,14.42307663,16
30,1,40,18
29,2,34.69387817,16
30,2,14.39102554,18
30,2,10.57692337,14
29,1,12.01923084,11
30,2,16.82788467,18
30,1,26.44230843,14
29,2,24.61538506,16
29,1,13.46153831,14
29,1,32.69230652,18
29,2,37.09999847,16
29,1,25.96153831,13
30,2,42.30769348,16
30,1,34.18803406,16
29,2,9.134614944,13
30,1,16.65144157,13
29,2,21.63461494,16
29,1,22.43589783,18
30,1,22.11538506,16
29,2,4.807692528,11
29,2,16.48351669,14
30,1,24.03846169,12
30,1,14.42307663,11
30,2,40.86538315,16
30,1,53.36538315,18
30,2,43.26922989,18
29,2,39.42307663,16
30,2,31.25,14
29,1,13.46153831,13
30,2,33.65384674,18
29,2,19.23077011,16
29,1,36.05769348,16
30,2,17.69230843,14
30,1,24.03846169,13
29,1,34.61538315,14
30,2,14.67611313,16
29,1,4.807692528,13
30,2,16.02564049,13
29,1,10.09615421,12
29,1,21.6857605,16
30,1,19.23077011,12
30,1,25.96153831,14
29,1,14.42307663,18
29,2,4.807692528,12
30,1,12.01923084,12
30,1,17.30769157,12
29,1,16.66666603,13
29,2,9.890110016,12
30,2,12.98076916,16
30,2,27.88461494,12
29,1,21.63461494,14
29,2,16.82692337,12
30,1,18,12
30,1,16.82692337,14
29,1,18.21862411,13
29,1,33.65384674,18
29,1,12.01923084,12
29,2,29.32692337,18
30,2,44.59134674,16
30,1,15.625,13
29,1,17.1428566,12
30,1,12.14574909,12
30,1,17.98077011,16
30,1,26.92307663,13
29,2,24.03846169,13
29,1,8.97959137,6
29,2,23.07692337,13
30,2,16.34615326,14
30,1,14.52991486,13
30,2,9.615385056,14
30,2,21.63461494,18
29,1,45.67307663,18
30,2,9.567307472,12
29,2,38.46154022,18
30,1,38.46154022,16
29,2,18.75,12
30,2,8.375,9
30,1,33.65384674,18
29,2,19.23077011,16
29,1,14.9572649,12
30,1,7.211538315,12
30,2,7.692307472,12
30,1,21.63461494,16
30,1,24.03846169,14
29,1,13.19999981,14
30,2,7.142857075,14
30,1,24.78632545,13
29,1,25.10683823,16
30,1,26.62721825,16
29,1,34.61538315,16
29,2,23.07692337,14
29,1,16.73077011,14
30,1,12.01923084,13
30,1,37.5,13
30,1,16.02564049,16
29,2,14.28571415,14
29,1,45.1663475,18
30,1,12.5,9
30,2,18.26922989,18
30,2,12.98076916,16
29,1,33.17307663,16
30,1,16.82692337,12
30,1,35.25640869,12
30,1,28.84615326,16
30,2,13.46153831,12
30,2,33.65384674,16
30,2,7.47863245,12
29,1,11.77083302,12
29,2,12.01923084,12
29,2,11.60000038,14
29,2,11.53846169,12
29,2,20.19230843,16
30,2,31.53846169,13
30,1,35.33961487,14
30,1,19.23077011,12
29,1,28.84615326,16
30,1,16.82692337,12
30,1,26.49572563,12
30,1,17.52136803,16
30,1,10.57692337,13
29,2,12.01923084,12
29,1,14.31623936,13
29,2,5.711538315,13
30,1,18.02884674,13
30,1,13.98601437,12
30,1,8.760684013,12
29,1,15.38461494,16
30,2,14.52991486,16
30,1,10.2136755,10
29,1,13.22115421,12
30,2,19.23077011,18
29,1,21.75,14
30,2,14.42307663,13
30,1,16.02564049,16
30,1,23.07692337,16
30,1,35.04273605,12
29,1,26.16645622,13
29,2,18.07692337,13
30,1,7.371794701,12
29,2,6.656804562,6
29,1,4.567307472,12
29,1,23.50427437,18
29,1,25.64102554,13
30,2,11.96581173,13
30,1,13.46153831,16
29,2,15,16
29,2,32.69230652,18
30,1,7.692307472,13
29,1,15.625,12
29,1,26.44230843,16
29,1,26.22377586,12
29,1,14.61538506,16
29,1,15.38461494,13
29,1,14.42307663,12
29,2,10.25961494,13
29,1,16.34615326,13
30,1,34.96503448,12
30,1,8.012820244,13
30,2,6.490384579,14
30,2,5.876068592,14
30,2,7.179487228,13
30,2,22.22222137,16
29,1,14.42307663,13
30,2,2.747252703,12
29,2,14.42307663,11
29,2,13.46153831,14
29,1,21.15384674,12
30,2,8.241758347,12
29,1,17.09401703,12
29,1,11.53942299,12
30,2,7.692307472,13
30,1,19.96318626,16
29,2,6.609230995,12
29,2,8.741258621,14
30,2,18.80341911,16
30,2,18.75,18
30,1,20.38461494,16
30,1,6.372549057,16
30,2,9.615385056,16
30,1,21.63461494,13
30,1,28.36538506,13
29,2,16.34615326,14
30,1,25.48077011,12
30,1,52.88461685,16
30,2,17.30769157,16
29,2,9.890110016,10
30,2,4.807692528,12
30,2,7.211538315,16
29,2,16.19230843,16
30,1,26.44230843,16
29,2,40.21977997,18
30,1,9.615385056,16
29,1,27.88461494,18
29,2,6.538461685,12
29,1,13.98601437,12
29,2,18.26922989,12
30,1,12.02019215,16
29,2,8.25,12
30,1,14.42307663,13
29,2,9.807692528,12
29,1,19.23077011,18
30,2,7.692307472,18
30,2,23.55769157,14
30,1,40.86538315,16
29,2,15,12
29,2,23.07692337,16
30,1,16.02564049,16
30,2,13.94230747,13
29,1,4.807692528,14
30,1,13.73626328,12
30,1,7.692307472,16
29,2,16.82692337,12
29,2,14.42307663,14
29,1,19.23077011,16
29,2,25,18
30,1,41.53845978,14
30,2,26.15384674,18
30,2,17.30769157,16
30,2,21.2550602,16
29,1,44.23077011,16
29,1,13.46153831,13
30,2,25,16
30,1,40.86538315,16
29,1,19.23077011,16
29,2,14.42307663,12
30,1,18.26922989,12
29,2,19.23077011,16
30,1,27.5,14
29,1,16.82692337,13
30,1,2.292647123,12
30,1,28.84615326,14
30,2,19.23077011,14
29,1,14.42307663,12
29,1,13.07692337,12
30,1,11.05769253,12
29,1,15.86538506,12
29,2,8.17307663,12
30,2,24.03846169,14
30,1,33.90673065,16
30,1,34.18803406,16
29,2,43.26922989,16
29,2,9.615385056,13
30,1,42.30769348,16
30,2,28.84615326,18
30,2,13.46153831,14
29,2,13.46153831,12
29,2,11.53846169,13
29,1,20.0854702,13
30,2,19.23077011,13
29,1,18.86094666,16
30,2,14.42307663,12
30,2,18.73767281,13
30,1,4.273504257,18
30,2,35.57692337,18
30,2,10.81730747,13
29,2,27.42307663,16
30,1,19.85577011,16
29,2,12.98076916,12
30,1,13.2867136,8
30,2,26.92307663,18
30,1,9.5,6
29,2,11.53846169,16
30,1,34.13461685,14
30,1,14.61538506,14
30,2,12.01923084,12
30,2,25,12
29,1,12.77923107,16
30,2,17.78846169,16
29,1,12.01923084,12
30,1,9.710577011,14
29,2,26.44230843,16
29,1,31.73077011,12
30,2,10.09615421,13
30,2,11.92307663,16
30,1,25,16
30,1,19.23077011,14
29,1,21.15384674,12
30,1,22.11538506,16
30,1,18.50961494,13
29,1,15.38461494,12
30,1,9.134614944,10
29,2,16.82692337,14
29,1,19.23077011,14
30,2,12.01923084,16
29,2,21.15480804,16
30,1,12.47401237,12
29,2,12.69791698,12
29,2,10.98901081,12
30,2,13.46153831,16
29,2,9.615385056,13
29,1,17.30769157,12
30,1,7.211538315,13
30,2,14.42307663,16
30,1,6.610577106,16
29,2,13.94230747,14
29,1,13.94230747,12
29,2,17.06730843,13
30,1,15.38461494,11
30,1,7.692307472,12
30,2,5.769230843,12
29,2,17.30769157,13
30,2,7.5,12
30,1,12.01923084,12
30,2,21.63461494,14
30,2,6.490384579,12
30,2,22.83653831,16
29,2,8.653845787,16
29,1,8.846154213,13
30,1,25,16
30,2,41.04395676,18
30,1,9.41915226,16
29,1,8.413461685,16
30,1,3.205128193,18
30,2,18.26922989,18
29,1,28.84615326,12
29,1,15.86538506,11
29,2,14.42307663,12
29,1,20.83333397,12
30,2,6.25,12
30,2,14.42307663,14
29,2,9.615385056,13
29,2,17.78846169,18
29,2,20.19230843,16
29,1,15.38461494,13
30,2,20.5128212,18
30,1,29.12087822,16
29,1,19.23077011,12
29,1,19.23077011,12
29,2,17.54807663,14
30,1,9,12
30,1,17.30769157,18
30,1,18.79370689,16
30,1,21.49038506,12
29,2,11.53846169,12
30,1,27.88461494,16
30,2,21.63461494,12
29,2,13.46153831,13
30,2,11.53846169,16
30,1,17,16
29,2,20,16
29,2,22.59615326,13
30,2,8.17307663,13
30,2,9.615385056,12
30,2,19.23077011,16
30,2,14.42307663,12
30,1,23.66863823,16
29,2,17.30769157,13
29,1,24.03846169,16
29,1,11.53846169,12
30,1,24.03846169,16
30,2,15.38461494,18
29,2,13.94230747,14
29,1,35.41827011,16
29,1,24.03846169,16
30,1,19.23077011,13
